username	residence	current_location	name	mail	job	sex	race	address	birthdate	user_id
gabrieladas-neves		(Decimal('-37.802134'), Decimal('79.453092'))	Sabrina da Luz	xda-cunha@yahoo.com.br	Engenheiro aeronáutico			"Condomínio de Silva, 16
Novo Ouro Preto
68911657 Lima de Minas / MT"		640
ferreirajulia		(Decimal('4.633756'), Decimal('102.063245'))	Maria Vitória Mendes	catarinada-conceicao@gmail.com	Mãe social	F	black	"Campo Eloah Ribeiro, 66
Estrela Do Oriente
23791-291 da Mota do Sul / MS"	1946-06-27	1222
isadora80		(Decimal('80.9854585'), Decimal('135.043616'))	Isabella Nascimento	maria-sophiasouza@ig.com.br				"Viela da Luz
Conjunto Santa Maria
92354128 Alves Verde / PB"	1940-12-01	298
adriana04		(Decimal('67.6271835'), Decimal('-41.336778'))	Daria Boldù	ngaleati@alice.it				"Vicolo Sophia, 452 Piano 7
26843, Meleti (LO)"	1958-02-01	316
kellygreg		(Decimal('39.336945'), Decimal('120.879401'))	Sandra Jenkins	danieljordan@yahoo.com	Fine artist			"31740 Maria Stravenue Apt. 240
Lake Rodneyfurt, IN 79004"	1997-05-26	1992
grenner	"Lilo-Herrmann-Weg 92
18788 Ingolstadt"	(Decimal('48.902373'), Decimal('144.570583'))	Albrecht Martin-Löchel	heinrichjacob@gmail.com		M	asian	"Döhnplatz 595
13007 Marienberg"	1923-01-27	1970
yumikosuzuki		(Decimal('-72.7255845'), Decimal('-118.289674'))	山田 亮介	ttakahashi@hotmail.com		M		佐賀県羽村市上野公園38丁目3番8号	2018-12-17	964
felipe91		(Decimal('69.686029'), Decimal('-142.469157'))	Lorena Ramos	brenda36@ig.com.br		F		"Travessa Dias, 762
Cidade Nova
92798-629 da Rosa do Amparo / PB"	1985-11-28	1650
gkrejcova	"K Prelátům 1
172 26 Ivančice"		Mgr. Karel Šťastný CSc.	stepanekludek@volny.cz				"Březanova 9
326 76 Dobřany"	1934-10-15	515
margrafslavko		(Decimal('-56.724136'), Decimal('-118.811460'))	Daria Hübel B.A.	chantalgrein-groth@gmail.com		F		"Nevenka-Pieper-Gasse 595
25812 Grevesmühlen"	1952-10-24	1007
saitoosamu	岡山県台東区高田馬場20丁目10番9号 橋場シティ493	(Decimal('-65.6007715'), Decimal('166.403110'))	山本 さゆり	hyamazaki@gmail.com			black	岡山県調布市藤金38丁目8番3号 シャルム権現堂720	2017-10-19	1198
jharloff		(Decimal('-85.391142'), Decimal('143.960537'))	Dipl.-Ing. Corina Albers	sylvester74@hotmail.de	Florist	F		"Hermighausenstraße 9
28536 Geithain"	2007-12-05	2434
ejohnson		(Decimal('-31.573563'), Decimal('71.096367'))	Francisco Dunn	michaelmendoza@hotmail.com		M		"030 Miller Squares Suite 757
Lake Michelle, WV 81439"	1943-11-26	385
ugualandi		(Decimal('-29.5844295'), Decimal('152.428434'))	Alessandra Cesarotti	csalandra@libero.it			asian	"Strada Saverio, 3
85015, Oppido Lucano (PZ)"		1256
